;DATE;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
72;1-2-1983;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.77;0;0;0;585.23;0
73;1-2-1984;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.8;0;0;0;1017.67;0
74;1-2-1985;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.85999996;0;0;0;139.73;0
75;1-2-1986;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.43;0;0;0;2543.25;0
76;1-2-1987;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.75999996;0;0;0;633.88;0
77;1-2-1988;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.5;0;0;0;1696.05;0
78;1-2-1989;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.51999998;0;0;0;572.69;0
79;1-2-1990;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.23;0;0;0;524.86;0
80;1-2-1991;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;973.17;0
81;1-2-1992;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58999998;0;0;0;511.29;0
82;1-2-1993;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.17999999;0;0;0;1886.24;0
83;1-2-1994;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.63;0;0;0;2266;0
84;1-2-1995;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.86999996;0;0;0;1700.61;0
85;1-2-1996;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.35;0;0;0;138.83;0
86;1-2-1997;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.78;0;0;0;380.96;0
87;1-2-1998;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.24;0;0;0;1114.45;0
88;1-2-1999;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.09999996;0;0;0;637.21;0
89;1-2-2000;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.55999996;0;0;0;251.94;0
90;1-2-2001;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.97999996;0;0;0;618.01;0
91;1-2-2002;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;1843.14;0
92;1-2-2003;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.78;0;0;0;614.7;0
93;1-2-2004;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.8;0;0;0;1216.19;0
94;1-2-2005;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.85999996;0;0;0;109.4;0
95;1-2-2006;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.449999977;0;0;0;1366.76;0
96;1-2-2007;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.99;0;0;0;1434.14;0
97;1-2-2008;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;3.4999999;0;0;0;0.03;0
98;1-2-2009;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.47999997;0;0;0;1476.11;0
99;1-2-2010;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.42999996;0;0;0;293.34;0
100;1-2-2011;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1;0;0;0;1016.74;0
101;1-3-1911;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.4299999;0;0;0;2.53;0
102;1-3-1912;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.73999996;0;0;0;160.31;0
103;1-3-1913;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.08;0;0;0;633.37;0
104;1-3-1914;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.4;0;0;0;661.61;0
105;1-3-1915;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.93999996;0;0;0;314.61;0
106;1-3-1916;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.51999992;0;0;0;575.53;0
107;1-3-1917;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.53999996;0;0;0;168.46;0
108;1-3-1918;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.01;0;0;0;989.67;0
109;1-3-1919;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.18;0;0;0;916.56;0
110;1-3-1920;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.52;0;0;0;524.26;0
111;1-3-1921;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.22;0;0;0;330.07;0
112;1-3-1922;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.63;0;0;0;596.9;0
113;1-3-1923;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.49999996;0;0;0;416.42;0
114;1-3-1924;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.53;0;0;0;2.25;0
115;1-3-1925;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.36999997;0;0;0;227.18;0
116;1-3-1926;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.18999996;0;0;0;1366.14;0
117;1-3-1927;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.37999996;0;0;0;246.68;0
118;1-3-1928;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.54;0;0;0;1288.53;0
119;1-3-1929;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.83999998;0;0;0;163.86;0
120;1-3-1930;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.84;0;0;0;432.81;0
121;1-3-1931;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.69999992;0;0;0;357.37;0
122;1-3-1932;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48999999;0;0;0;667.69;0
123;1-3-1933;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.08;0;0;0;417.83;0
124;1-3-1934;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.35999998;0;0;0;613.53;0
125;1-3-1935;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.88;0;0;0;794.41;0
126;1-3-1936;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.02;0;0;0;278.29;0
127;1-3-1937;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.54999998;0;0;0;1813.87;0
128;1-3-1938;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.78;0;0;0;-0.43;0
129;1-3-1939;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.04;0;0;0;200.3;0
130;1-3-1940;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.28;0;0;0;1423.92;0
131;1-3-1941;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.31999994;0;0;0;274.91;0
132;1-3-1942;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.82;0;0;0;74.41;0
133;1-3-1943;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.68;0;0;0;466.22;0
134;1-3-1944;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.24;0;0;0;0.54;0
135;1-3-1945;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.80999997;0;0;0;627.42;0
136;1-3-1946;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.36999999;0;0;0;1859.59;0
137;1-3-1947;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.4;0;0;0;0.48;0
138;1-3-1948;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.04;0;0;0;1035.9;0
139;1-3-1949;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;3.56;0;0;0;-0.74;0
140;1-3-1950;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.74;0;0;0;827.58;0
141;1-3-1951;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58;0;0;0;874.77;0
142;1-3-1952;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58;0;0;0;708.99;0
143;1-3-1953;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.089999997;0;0;0;1423.66;0
144;1-3-1954;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.33999992;0;0;0;-0.13;0
145;1-3-1955;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.24;0;0;0;1228;0
146;1-3-1956;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2;0;0;0;0.52;0
147;1-3-1957;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.15;0;0;0;1577.56;0
148;1-3-1958;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.69;0;0;0;1066.25;0
149;1-3-1959;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.71999996;0;0;0;498.81;0
150;1-3-1960;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.85999996;0;0;0;265.24;0
151;1-3-1961;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48999999;0;0;0;1030.65;0
152;1-3-1962;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.76;0;0;0;745.56;0
153;1-3-1963;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.15;0;0;0;91.92;0
154;1-3-1964;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.14;0;0;0;160.26;0
155;1-3-1965;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.35;0;0;0;129.03;0
156;1-3-1966;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.34;0;0;0;422.77;0
157;1-3-1967;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.01999996;0;0;0;511.7;0
158;1-3-1968;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.76999998;0;0;0;506.85;0
159;1-3-1969;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.41999999;0;0;0;313.49;0
160;1-3-1970;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.47;0;0;0;1862.93;0
161;1-3-1971;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.33;0;0;0;672.47;0
162;1-3-1972;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.60999996;0;0;0;71.03;0
163;1-3-1973;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.02;0;0;0;-0.39;0
164;1-3-1974;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.19;0;0;0;1020.9;0
165;1-3-1975;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.38999999;0;0;0;778.71;0
166;1-3-1976;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.8;0;0;0;-0.41;0
167;1-3-1977;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48;0;0;0;1021.9;0
168;1-3-1978;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.74;0;0;0;336.21;0
169;1-3-1979;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.17;0;0;0;446.22;0
170;1-3-1980;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.14;0;0;0;461.91;0
171;1-3-1981;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.35;0;0;0;273.21;0
172;1-3-1982;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.33;0;0;0;129.58;0
