;DATE;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
81;1-2-1992;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.09;0;0;0;360.82;0
82;1-2-1993;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.319999994;0;0;0;1761.28;0
83;1-2-1994;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.14;0;0;0;2103.8;0
84;1-2-1995;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.36999996;0;0;0;1547.9;0
85;1-2-1996;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.139999994;0;0;0;172.78;0
86;1-2-1997;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.28;0;0;0;544.55;0
87;1-2-1998;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.25;0;0;0;1070.84;0
88;1-2-1999;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.6;0;0;0;594.16;0
89;1-2-2000;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.06;0;0;0;237.87;0
90;1-2-2001;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48;0;0;0;598.18;0
91;1-2-2002;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.199999996;0;0;0;1682.62;0
92;1-2-2003;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.28;0;0;0;580.51;0
93;1-2-2004;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;1124.34;0
94;1-2-2005;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.35999996;0;0;0;118.31;0
95;1-2-2006;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.96999997;0;0;0;712.36;0
96;1-2-2007;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48999998;0;0;0;1338.35;0
97;1-2-2008;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.9999999;0;0;0;0.02;0
98;1-2-2009;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1;0;0;0;716.51;0
99;1-2-2010;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.93999998;0;0;0;359.65;0
100;1-2-2011;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.49999997;0;0;0;964.5;0
101;1-3-1911;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.92999996;0;0;0;3.23;0
102;1-3-1912;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.23999996;0;0;0;187.62;0
103;1-3-1913;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.57999998;0;0;0;614.68;0
104;1-3-1914;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.9;0;0;0;664.25;0
105;1-3-1915;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.43999996;0;0;0;303.4;0
106;1-3-1916;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.02;0;0;0;621.4;0
107;1-3-1917;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.03999996;0;0;0;168.62;0
108;1-3-1918;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.50999999;0;0;0;927.46;0
109;1-3-1919;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.68;0;0;0;892.69;0
110;1-3-1920;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.02;0;0;0;537.83;0
111;1-3-1921;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.72;0;0;0;350.94;0
112;1-3-1922;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.13;0;0;0;616.59;0
113;1-3-1923;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1;0;0;0;476.44;0
114;1-3-1924;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.03;0;0;0;2.91;0
115;1-3-1925;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.86999998;0;0;0;246.45;0
116;1-3-1926;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.7;0;0;0;1377.76;0
117;1-3-1927;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.87999998;0;0;0;251.94;0
118;1-3-1928;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.04;0;0;0;1302.32;0
119;1-3-1929;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.33999999;0;0;0;238.89;0
120;1-3-1930;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.34;0;0;0;334.27;0
121;1-3-1931;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.19999992;0;0;0;352.03;0
122;1-3-1932;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.01;0;0;0;467.42;0
123;1-3-1933;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.42;0;0;0;454.89;0
124;1-3-1934;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.13;0;0;0;855.18;0
125;1-3-1935;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.38;0;0;0;831.61;0
126;1-3-1936;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.52;0;0;0;285.28;0
127;1-3-1937;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.06;0;0;0;1859.7;0
128;1-3-1938;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.28;0;0;0;0.74;0
129;1-3-1939;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.53999996;0;0;0;205.62;0
130;1-3-1940;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.77;0;0;0;1560.09;0
131;1-3-1941;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.82;0;0;0;308.14;0
132;1-3-1942;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.32;0;0;0;322.9;0
133;1-3-1943;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.179999992;0;0;0;481.63;0
134;1-3-1944;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.74;0;0;0;91.48;0
135;1-3-1945;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.30999997;0;0;0;682.92;0
136;1-3-1946;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.13;0;0;0;1846.44;0
137;1-3-1947;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.9;0;0;0;0.46;0
138;1-3-1948;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.46999999;0;0;0;491.22;0
139;1-3-1949;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;3.06;0;0;0;-0.73;0
140;1-3-1950;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.24;0;0;0;837.76;0
141;1-3-1951;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.08;0;0;0;861.99;0
142;1-3-1952;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.08;0;0;0;693.39;0
143;1-3-1953;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.39999998;0;0;0;1362.24;0
144;1-3-1954;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.84;0;0;0;9.7;0
145;1-3-1955;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.75;0;0;0;487.79;0
146;1-3-1956;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.5;0;0;0;0.53;0
147;1-3-1957;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.34999999;0;0;0;1544.09;0
148;1-3-1958;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.18999999;0;0;0;1084.1;0
149;1-3-1959;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.22;0;0;0;385.56;0
150;1-3-1960;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.35999998;0;0;0;351.37;0
151;1-3-1961;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.01;0;0;0;1010.92;0
152;1-3-1962;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.26;0;0;0;778.52;0
153;1-3-1963;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.66;0;0;0;198.44;0
154;1-3-1964;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.63999998;0;0;0;275.63;0
155;1-3-1965;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.15;0;0;0;244.05;0
156;1-3-1966;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.84;0;0;0;460.88;0
157;1-3-1967;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.51999999;0;0;0;606.84;0
158;1-3-1968;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.27;0;0;0;688.86;0
159;1-3-1969;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.08;0;0;0;553.19;0
160;1-3-1970;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.96;0;0;0;1975.02;0
161;1-3-1971;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.17;0;0;0;484.38;0
162;1-3-1972;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.10999996;0;0;0;85.9;0
163;1-3-1973;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.52;0;0;0;-0.39;0
164;1-3-1974;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.69999998;0;0;0;536.11;0
165;1-3-1975;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.109999997;0;0;0;423.97;0
166;1-3-1976;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.3;0;0;0;-0.4;0
167;1-3-1977;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.01;0;0;0;1062.23;0
